lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01KFRX161JMB5T2BTWK5GAF0QD,(Am) Jordan Butler,20.555557,22.22222900390625,42.0,0.080000006,0.89408004,0.0,0,2,0,52.807667,3.0392447,
01JXZYMV8F30Q5PXK78DCVQMB9,(AM) Valerio Petretti,25.806864,33.333343505859375,57.0,0.4839245,5.3302956,4.060946,0,1,0,36.33916,3.087472,
01KDRW7RQ73G3GXRHC2FHMPZDD,A  David Morse,18.651436,22.77777099609375,,0.58664095,2.8864489,0.44413966,0,1,0,17.24833,3.1398032,1.0
01JXWWWACT028CT5QTWMW2PHYK,Aaron Boni Kluge,19.858234,36.666656494140625,57.0,0.9466666,3.9936876,5.551927,0,2,0,36.308372,2.9925838,1.0
01KDHKGB6N7G7PZCND9XSX7QB7,Aaron Emiliano Gopar Gonzalez,18.838789,23.333343505859375,71.0,0.6958621,6.624706,1.2541987,0,2,0,22.522417,3.1450906,
01K6Z42HW2HWXBHA0R19GRSJP8,Aaron Gatsby,22.222223,32.77777099609375,100.0,0.75,1.34112,0.0,0,2,0,83.03152,3.0354438,1.0
01K6XXEVM8V3N0ZMRYS76JNWGF,Aaron Hollis,20.227451,32.77777099609375,42.0,0.3300868,3.2755513,3.4444122,0,2,0,30.526613,3.0374265,1.0
01KDKK0K6202NCHMHYA3DERRNE,Aaron Sparks4,19.03629,25.0,95.0,0.63284844,2.3794274,2.2049172,0,2,0,17.571014,2.9746964,
01KDGCNW1NB00STDMQK8E64WD0,Adam Buchta,18.772242,24.4444580078125,71.0,0.74278075,5.4553595,0.19597787,0,2,0,33.44707,3.0990827,1.0
01K76MB2NAAH7CQG9MWHZ7XX81,Adam J Anderson,19.136118,21.111114501953125,71.0,0.8127463,4.651879,0.83121175,0,2,0,37.956104,3.1777594,1.0
01KKTDS4YKF9NKTZAX5GETT5TT,Adam Jichi,20.439104,32.22222900390625,95.0,0.58656543,1.9121864,5.162921,0,3,0,28.703386,3.190238,1.0
01KD6C3KY02Y545W488ZWHD211,Adam Prosser,18.82323,24.4444580078125,28.0,0.9139941,5.665319,0.0009185632,0,2,0,21.16329,3.1342144,1.0
