Grup,Error MSE
Expert,0.102967
Expert,0.109189
Expert,0.126448
Expert,0.103782
Expert,0.103581
Expert,0.115846
Expert,0.092672
Expert,0.117071
Expert,0.09743
Expert,0.084174
Expert,0.079282
Expert,0.101582
Expert,0.16471
Expert,0.128327
Expert,0.105969
Expert,0.079959
Expert,0.090064
Expert,0.092046
Expert,0.100444
Expert,0.096291
Expert,0.110305
Expert,0.090998
Expert,0.107462
Expert,0.129199
Expert,0.092162
Expert,0.094398
Expert,0.132996
Expert,0.087083
Expert,0.121104
Expert,0.097006
Expert,0.123277
Expert,0.091292
Expert,0.077845
Expert,0.095101
Expert,0.07485
Expert,0.082
Expert,0.114308
Expert,0.100502
Expert,0.085864
Expert,0.095625
Expert,0.083666
Expert,0.111091
Expert,0.082124
Expert,0.078309
Expert,0.103692
Expert,0.115461
Expert,0.11605
Expert,0.093405
Expert,0.089704
Expert,0.100462
Expert,0.091319
Expert,0.092158
Expert,0.077713
Expert,0.112008
Expert,0.085006
Expert,0.122461
Expert,0.121618
Expert,0.130689
Expert,0.084102
Expert,0.110717
Expert,0.111553
Expert,0.10376
Expert,0.103492
Expert,0.08861
Expert,0.140611
Expert,0.111041
Expert,0.10158
Expert,0.127771
Expert,0.098292
Expert,0.107307
Expert,0.091388
Expert,0.090111
Expert,0.133946
Expert,0.10847
Expert,0.089265
Expert,0.085608
Expert,0.112508
Expert,0.090619
Expert,0.106847
Expert,0.106148
Expert,0.113673
Expert,0.086775
Expert,0.089395
Expert,0.071313
Expert,0.13871
Expert,0.22152
Expert,0.07227
Expert,0.088513
Expert,0.081812
Expert,0.089623
Expert,0.111339
Expert,0.086357
Expert,0.122313
Expert,0.087723
Expert,0.108923
Expert,0.111261
Expert,0.173452
Expert,0.07521
Expert,0.114282
Expert,0.089224
Expert,0.094654
Expert,0.141657
Expert,0.118509
Expert,0.126204
Expert,0.112381
Expert,0.095923
Expert,0.090252
Expert,0.118696
Expert,0.104823
Expert,0.102487
Expert,0.098516
Expert,0.091232
Expert,0.138182
Expert,0.092864
Expert,0.134545
Expert,0.108721
Expert,0.099022
Expert,0.128092
Expert,0.107135
Expert,0.099165
Expert,0.090993
Expert,0.076539
Expert,0.107158
Expert,0.111647
Expert,0.103984
Expert,0.135868
Expert,0.114842
Expert,0.101773
Expert,0.076248
Expert,0.125505
Expert,0.144409
Expert,0.089075
Expert,0.121935
Expert,0.092236
Expert,0.103736
Expert,0.097398
Expert,0.139301
