MSE reconstruction error,Lap Time (s),Lap Type
0.102967,99.611,Expert
0.109189,99.956,Expert
0.126448,100.104,Expert
0.103782,100.124,Expert
0.103581,100.175,Expert
0.115846,100.276,Expert
0.092672,100.288,Expert
0.117071,100.299,Expert
0.09743,100.326,Expert
0.084174,100.332,Expert
0.079282,100.393,Expert
0.101582,100.407,Expert
0.16471,100.432,Expert
0.128327,100.459,Expert
0.105969,100.48,Expert
0.079959,100.498,Expert
0.090064,100.522,Expert
0.092046,100.523,Expert
0.100444,100.527,Expert
0.096291,100.582,Expert
0.110305,100.597,Expert
0.090998,100.601,Expert
0.107462,100.61,Expert
0.129199,100.617,Expert
0.092162,100.633,Expert
0.094398,100.635,Expert
0.132996,100.643,Expert
0.087083,100.657,Expert
0.121104,100.657,Expert
0.097006,100.686,Expert
0.123277,100.692,Expert
0.091292,100.695,Expert
0.077845,100.697,Expert
0.095101,100.711,Expert
0.07485,100.719,Expert
0.082,100.75,Expert
0.114308,100.753,Expert
0.100502,100.761,Expert
0.085864,100.768,Expert
0.095625,100.77,Expert
0.083666,100.796,Expert
0.111091,100.798,Expert
0.082124,100.801,Expert
0.078309,100.806,Expert
0.103692,100.822,Expert
0.115461,100.822,Expert
0.11605,100.828,Expert
0.093405,100.831,Expert
0.089704,100.832,Expert
0.100462,100.834,Expert
0.091319,100.836,Expert
0.092158,100.839,Expert
0.077713,100.847,Expert
0.112008,100.877,Expert
0.085006,100.885,Expert
0.122461,100.885,Expert
0.121618,100.893,Expert
0.130689,100.896,Expert
0.084102,100.9,Expert
0.110717,100.908,Expert
0.111553,100.913,Expert
0.10376,100.921,Expert
0.103492,100.932,Expert
0.08861,100.94,Expert
0.140611,100.94,Expert
0.111041,100.949,Expert
0.10158,100.955,Expert
0.127771,100.964,Expert
0.098292,100.994,Expert
0.107307,101.013,Expert
0.091388,101.023,Expert
0.090111,101.026,Expert
0.133946,101.029,Expert
0.10847,101.04,Expert
0.089265,101.053,Expert
0.085608,101.058,Expert
0.112508,101.064,Expert
0.090619,101.066,Expert
0.106847,101.08,Expert
0.106148,101.082,Expert
0.113673,101.086,Expert
0.086775,101.091,Expert
0.089395,101.102,Expert
0.071313,101.105,Expert
0.13871,101.122,Expert
0.22152,101.133,Expert
0.07227,101.133,Expert
0.088513,101.139,Expert
0.081812,101.14,Expert
0.089623,101.142,Expert
0.111339,101.157,Expert
0.086357,101.161,Expert
0.122313,101.161,Expert
0.087723,101.162,Expert
0.108923,101.164,Expert
0.111261,101.172,Expert
0.173452,101.174,Expert
0.07521,101.206,Expert
0.114282,101.208,Expert
0.089224,101.224,Expert
0.094654,101.236,Expert
0.141657,101.24,Expert
0.118509,101.242,Expert
0.126204,101.253,Expert
0.112381,101.253,Expert
0.095923,101.258,Expert
0.090252,101.263,Expert
0.118696,101.263,Expert
0.104823,101.269,Expert
0.102487,101.27,Expert
0.098516,101.272,Expert
0.091232,101.273,Expert
0.138182,101.276,Expert
0.092864,101.277,Expert
0.134545,101.279,Expert
0.108721,101.284,Expert
0.099022,101.285,Expert
0.128092,101.286,Expert
0.107135,101.286,Expert
0.099165,101.293,Expert
0.090993,101.295,Expert
0.076539,101.296,Expert
0.107158,101.297,Expert
0.111647,101.299,Expert
0.103984,101.302,Expert
0.135868,101.315,Expert
0.114842,101.317,Expert
0.101773,101.323,Expert
0.076248,101.323,Expert
0.125505,101.324,Expert
0.144409,101.325,Expert
0.089075,101.332,Expert
0.121935,101.334,Expert
0.092236,101.338,Expert
0.103736,101.342,Expert
0.097398,101.343,Expert
0.139301,101.346,Expert
0.087229,101.348,Expert
0.129842,101.348,Expert
0.094446,101.354,Expert
0.107824,101.355,Expert
0.100548,101.357,Expert
0.085678,101.363,Expert
0.112807,101.37,Expert
0.10194,101.373,Expert
0.088437,101.373,Expert
0.110664,101.377,Expert
0.090186,101.379,Expert
0.126044,101.386,Expert
0.117498,102.444,Amateur
0.148199,102.444,Amateur
0.111416,102.448,Amateur
0.144865,102.451,Amateur
0.147704,102.454,Amateur
0.09969,102.458,Amateur
0.168899,102.462,Amateur
0.135148,102.467,Amateur
0.137762,102.468,Amateur
0.119704,102.47,Amateur
0.131205,102.471,Amateur
0.081474,102.477,Amateur
0.116928,102.48,Amateur
0.170967,102.481,Amateur
0.121408,102.481,Amateur
0.114407,102.481,Amateur
0.130021,102.483,Amateur
0.110765,102.483,Amateur
0.146495,102.486,Amateur
0.152824,102.488,Amateur
0.109479,102.489,Amateur
0.147938,102.491,Amateur
0.132166,102.492,Amateur
0.117656,102.493,Amateur
0.145382,102.496,Amateur
0.0948,102.497,Amateur
0.128463,102.498,Amateur
0.133452,102.499,Amateur
0.118016,102.5,Amateur
0.110442,102.501,Amateur
0.114578,102.506,Amateur
0.186509,102.512,Amateur
0.140634,102.515,Amateur
0.155363,102.519,Amateur
0.149881,102.526,Amateur
