driver,lap_time_s,lap_time_str,lap_id,n_samples,filename
Jaume Calabuig,99.956,01:39.956,01KD3RZR0X7JHZVXDC8SWNQK82,5997,Garage 61 - Jaume Calabuig - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.39.956 - 01KD3RZR0X7JHZVXDC8SWNQK82.csv
Aleksandr Chemyrtan,100.104,01:40.104,01KD5GZ2Y439N6QGR8XHYVQ3WG,6006,Garage 61 - Aleksandr Chemyrtan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.104 - 01KD5GZ2Y439N6QGR8XHYVQ3WG.csv
Tom Euler,100.176,01:40.176,01KD41X4E8N6SPFXAP1NEVVTQY,6011,Garage 61 - Tom Euler - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.176 - 01KD41X4E8N6SPFXAP1NEVVTQY.csv
Tom Euler,100.197,01:40.197,01KD3XNGE89TEW9XF8NQ2T365V,6011,Garage 61 - Tom Euler - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.197 - 01KD3XNGE89TEW9XF8NQ2T365V.csv
Jaume Calabuig,100.261,01:40.261,01KD44V77ASHBMC2PKWK3VCYKD,6016,Garage 61 - Jaume Calabuig - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.261 - 01KD44V77ASHBMC2PKWK3VCYKD.csv
Nikko De Bellis,100.276,01:40.276,01KD8W157GSEQ0BZRGYVVZ0GE4,6017,Garage 61 - Nikko De Bellis - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.276 - 01KD8W157GSEQ0BZRGYVVZ0GE4.csv
Tom Euler,100.282,01:40.282,01KD3TWMR8DV1XBND1TV04CFBE,6017,Garage 61 - Tom Euler - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.282 - 01KD3TWMR8DV1XBND1TV04CFBE.csv
준후 권,100.289,01:40.289,01KD3AJE5Y4RSVHJ4YB2HTMGMJ,6018,Garage 61 - 준후 권 - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.289 - 01KD3AJE5Y4RSVHJ4YB2HTMGMJ.csv
Tom Euler,100.293,01:40.293,01KD3XNGE89TEW9XF8Q646J17M,6018,Garage 61 - Tom Euler - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.293 - 01KD3XNGE89TEW9XF8Q646J17M.csv
Alexander Paulick,100.333,01:40.333,01KDDBMDRX65HFN7Q4DXEAYG4E,6019,Garage 61 - Alexander Paulick - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.333 - 01KDDBMDRX65HFN7Q4DXEAYG4E.csv
Jaume Calabuig,100.342,01:40.342,01KD44V77ASHBMC2PKWNVJA2NW,6020,Garage 61 - Jaume Calabuig - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.342 - 01KD44V77ASHBMC2PKWNVJA2NW.csv
Dmitry Sokolov,100.375,01:40.375,01KDB4C69SZREC6SCTFMZH3JHA,6022,Garage 61 - Dmitry Sokolov - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.375 - 01KDB4C69SZREC6SCTFMZH3JHA.csv
Tom Euler,100.379,01:40.379,01KD38CDT2EZNYKTBKW6XJ6FT5,6023,Garage 61 - Tom Euler - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.379 - 01KD38CDT2EZNYKTBKW6XJ6FT5.csv
Marshall Skare,100.423,01:40.423,01KDJ6C9CQ532754X7GMSR0F8J,6025,Garage 61 - Marshall Skare - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.423 - 01KDJ6C9CQ532754X7GMSR0F8J.csv
Jaume Calabuig,100.43,01:40.430,01KD44V7773RQEYY4WRS917KF4,6026,Garage 61 - Jaume Calabuig - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.430 - 01KD44V7773RQEYY4WRS917KF4.csv
Marshall Skare,100.456,01:40.456,01KDK7SPQ1X8MRA4YQ417E7Z4H,6027,Garage 61 - Marshall Skare - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.456 - 01KDK7SPQ1X8MRA4YQ417E7Z4H.csv
Michael Vlasak,100.481,01:40.481,01KD88N989NC77RYBNXV9VVARX,6029,Garage 61 - Michael Vlasak - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.481 - 01KD88N989NC77RYBNXV9VVARX.csv
Marshall Skare,100.49,01:40.490,01KDK7SPQ1X8MRA4YQ3TYNQQQD,6030,Garage 61 - Marshall Skare - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.40.490 - 01KDK7SPQ1X8MRA4YQ3TYNQQQD.csv
